4.506083e+00,8.192369e-08,1.000000e+00,-4.346502e+00,3.103237e-01,-6.640043e-02,3.095397e-02,-2.008484e-03,1.000000e-08,5.340834e-16,2.670417e-16
4.495225e+00,8.506675e-08,9.155625e-01,-3.973036e+00,2.836281e-01,-5.749828e-02,2.605025e-02,-1.621414e-03,3.935953e-02,6.001623e-16,2.636136e-16
4.474082e+00,9.113212e-08,7.798087e-01,-3.368186e+00,2.405249e-01,-4.409502e-02,1.902076e-02,-1.097950e-03,1.209677e-01,7.336577e-16,2.576862e-16
4.452307e+00,9.731221e-08,6.703414e-01,-2.875439e+00,2.055584e-01,-3.416272e-02,1.412528e-02,-7.598058e-04,2.118209e-01,8.777828e-16,2.525753e-16
4.428192e+00,1.040910e-07,5.753557e-01,-2.443072e+00,1.750140e-01,-2.623233e-02,1.044157e-02,-5.232839e-04,3.203864e-01,1.045285e-15,2.480407e-16
4.401677e+00,1.114832e-07,4.941476e-01,-2.068718e+00,1.486950e-01,-2.000152e-02,7.711601e-03,-3.603975e-04,4.492253e-01,1.239180e-15,2.443631e-16
4.372390e+00,1.195960e-07,4.249334e-01,-1.745069e+00,1.260540e-01,-1.512339e-02,5.692797e-03,-2.484294e-04,6.027378e-01,1.465486e-15,2.418322e-16
4.339931e+00,1.285544e-07,3.662663e-01,-1.466270e+00,1.066448e-01,-1.132437e-02,4.205437e-03,-1.717057e-04,7.861149e-01,1.731832e-15,2.408412e-16
4.303802e+00,1.385257e-07,3.168516e-01,-1.227096e+00,9.006297e-02,-8.380002e-03,3.113060e-03,-1.192503e-04,1.005774e+00,2.048639e-15,2.419228e-16
4.263392e+00,1.497353e-07,2.755556e-01,-1.023007e+00,7.594818e-02,-6.107922e-03,2.312964e-03,-8.343956e-05,1.269606e+00,2.430450e-15,2.458204e-16
4.217931e+00,1.624942e-07,2.413912e-01,-8.501092e-01,6.397925e-02,-4.360494e-03,1.728173e-03,-5.900420e-05,1.587312e+00,2.898183e-15,2.536047e-16
4.166454e+00,1.772404e-07,2.135072e-01,-7.051315e-01,5.387043e-02,-3.018721e-03,1.301237e-03,-4.231946e-05,1.970789e+00,3.482920e-15,2.668690e-16
4.107732e+00,1.946051e-07,1.911740e-01,-5.854006e-01,4.536785e-02,-1.987220e-03,9.894169e-04,-3.090164e-05,2.434518e+00,4.232464e-15,2.880696e-16
4.040213e+00,2.155164e-07,1.737631e-01,-4.887920e-01,3.824627e-02,-1.190251e-03,7.609509e-04,-2.305220e-05,2.995915e+00,5.223114e-15,3.211282e-16
3.961950e+00,2.413662e-07,1.607102e-01,-4.136169e-01,3.230598e-02,-5.689138e-04,5.921661e-04,-1.760711e-05,3.675490e+00,6.581467e-15,3.725257e-16
3.870558e+00,2.742759e-07,1.514526e-01,-3.583759e-01,2.736979e-02,-7.970259e-05,4.652854e-04,-1.376080e-05,4.496710e+00,8.526266e-15,4.533277e-16
3.763207e+00,3.175299e-07,1.453319e-01,-3.213043e-01,2.327929e-02,3.056039e-04,3.668627e-04,-1.094498e-05,5.485688e+00,1.145210e-14,5.830293e-16
3.636573e+00,3.763230e-07,1.414795e-01,-2.997348e-01,1.988912e-02,5.996313e-04,2.868765e-04,-8.751934e-06,6.671950e+00,1.610731e-14,7.972147e-16
3.486624e+00,4.591445e-07,1.387547e-01,-2.895754e-01,1.706074e-02,8.008623e-04,2.185234e-04,-6.899597e-06,8.092415e+00,2.400016e-14,1.163876e-15
3.309325e+00,5.795638e-07,1.358395e-01,-2.853772e-01,1.467191e-02,8.994804e-04,1.587590e-04,-5.238764e-06,9.788463e+00,3.827894e-14,1.815468e-15
3.107661e+00,7.528182e-07,1.316968e-01,-2.814632e-01,1.266577e-02,8.938347e-04,1.092061e-04,-3.790862e-06,1.174245e+01,6.467932e-14,2.969720e-15
2.899192e+00,9.817619e-07,1.263530e-01,-2.746676e-01,1.104625e-02,8.154081e-04,7.313198e-05,-2.675731e-06,1.379930e+01,1.102062e-13,4.845716e-15
2.697918e+00,1.261507e-06,1.205293e-01,-2.653230e-01,9.749557e-03,7.103139e-04,4.913128e-05,-1.894845e-06,1.582992e+01,1.823275e-13,7.631894e-15
2.478676e+00,1.646073e-06,1.139025e-01,-2.531457e-01,8.537231e-03,5.906539e-04,3.160427e-05,-1.296867e-06,1.810012e+01,3.111497e-13,1.227981e-14
2.184913e+00,2.323216e-06,1.051423e-01,-2.355911e-01,7.150386e-03,4.460529e-04,1.734510e-05,-7.829661e-07,2.124786e+01,6.216795e-13,2.257963e-14
1.883666e+00,3.261141e-06,9.668985e-02,-2.178421e-01,5.949492e-03,3.268612e-04,9.276910e-06,-4.717044e-07,2.461110e+01,1.228550e-12,4.091478e-14
1.594556e+00,4.456773e-06,8.920649e-02,-2.018518e-01,4.972160e-03,2.395743e-04,5.007418e-06,-2.937989e-07,2.797433e+01,2.300449e-12,7.050138e-14
1.287255e+00,6.128443e-06,8.191160e-02,-1.861951e-01,4.095362e-03,1.708685e-04,2.518443e-06,-1.801435e-07,3.170058e+01,4.360726e-12,1.224069e-13
9.408538e-01,8.637331e-06,7.442454e-02,-1.701243e-01,3.279700e-03,1.160519e-04,1.072640e-06,-1.055190e-07,3.609564e+01,8.684214e-12,2.209202e-13
3.897036e-01,1.442999e-05,6.390908e-02,-1.475284e-01,2.291840e-03,6.220782e-05,1.509613e-07,-4.657331e-08,4.353714e+01,2.432548e-11,5.294860e-13
